NAME,Date,Oil (BBLS),Gas (MCF),Water (BBLS)
AARON #1,8/25/2021,70.14,0,23.38
ANIKEN #1,8/25/2021,6.81,0,0
ANNPICK #1,8/25/2021,0,0,0
BMMP #1,8/25/2021,0,3347.8,0
BARRIER #1,8/25/2021,0,139.04,0
BEELER RANCH #1,8/25/2021,0,4.04,25.05
BERMUDA #1,8/25/2021,0,0,0
BIG SONNY #1,8/25/2021,0,5,13.12
BLACKMON #1,8/25/2021,0,0,0
BLAS REYES #1,8/25/2021,3.34,177.86,9.36
BOND #1,8/25/2021,0,0,0
BRANTON #1,8/25/2021,2.67,0,0
CR #101,8/25/2021,86.84,683.3,5.01
CR #201,8/25/2021,8.35,28.87,0
CR #301,8/25/2021,70.14,193.08,6.68
CR #302,8/25/2021,45.41,0,0
CR #401,8/25/2021,2,0,2
CR #501,8/25/2021,1.31,0,0
CT #1,8/25/2021,200.04,526.49,0
CANNAN #1,8/25/2021,15.89,263.13,73.48
CAROLPICK #1,8/25/2021,0,30.82,0
CAROLYN #1,8/25/2021,0,0.14,1.41
CENIZO #1,8/25/2021,50.1,0,2.34
CHAD #1,8/25/2021,6.68,19.51,49.84
CHARLES B #1,8/25/2021,0,0,0
CIRCLE T #1,8/25/2021,8.68,0,0
CROSS S #1,8/25/2021,0,0,0
DALE #1,8/25/2021,10.02,0,5.85
DIAL #1,8/25/2021,0,0,0
DILLARD #1,8/25/2021,0,100.08,0
DUNKLE #2,8/25/2021,18.37,0,0
DUNLAP #1,8/25/2021,0,0,0
DYESS #1,8/25/2021,10.02,0,0
EILEEN #1,8/25/2021,0,1.71,49.84
EVERGREEN #1,8/25/2021,0,0,3.34
FLOWER #1,8/25/2021,18.37,2.94,6.68
GAIL #1,8/25/2021,0,0,0
GIL #1,8/25/2021,0,0,0
GRISSOM #1,8/25/2021,0,0,0
J BEELER #1,8/25/2021,35.07,0,65.13
JJ #1,8/25/2021,111.86,0,1.43
JESSICA #1,8/25/2021,0,24.4,0
JOE #1,8/25/2021,0,0,8.09
JOSEPH #1,8/25/2021,0,0,0
JRED #1,8/25/2021,11.35,0,0
KAY #1,8/25/2021,104.86,552.26,5.01
KILEY #1,8/25/2021,3.34,0,36.74
KINCAID #1,8/25/2021,1.67,0,58.19
KIRBY #1,8/25/2021,0,0,0
KLEIMANN #1,8/25/2021,0,1031.28,0
KLEIMANN #3,8/25/2021,18.37,0,43.42
LT #1,8/25/2021,0,0,0
LA ROSITA #1,8/25/2021,2.27,18.66,1.67
LACKEY FIVE #1,8/25/2021,64.78,0,15.03
LANDER #1,8/25/2021,0,0,3.34
LEARY TRUST #1,8/25/2021,0,0,0
LOCHTE #1,8/25/2021,146.64,167.4,0
MDB #1,8/25/2021,90.18,71.71,0
MARGUERITE #1,8/25/2021,26.72,0,0
MARPICK #1,8/25/2021,11.69,0,0
MOLAK #1,8/25/2021,0,0,0
MONTEMAYOR #1,8/25/2021,0,0,0
MORELAND #1,8/25/2021,0,0,6.68
PC #1,8/25/2021,0,3.96,0
PALM #1,8/25/2021,6.68,251.9,89.92
PARKWAY #1,8/25/2021,165.88,705.65,0
PECAN GROVE #1,8/25/2021,3.34,0,32.48
PFEIFFER #1,8/25/2021,0,0,0
PICKENS #1,8/25/2021,0,0,0
PICKENS WEAVER #1,8/25/2021,0,13.2,88.25
PICKWILL #1,8/25/2021,0,0.69,0
PRESTON #1,8/25/2021,0,217.04,31.47
RHODES #1,8/25/2021,1.67,0,0
RICHARD #1,8/25/2021,23.03,165.29,0
RICHARDSON #1,8/25/2021,0,2.48,0
RONALD #1,8/25/2021,9.08,0,0
RUSSELL #1,8/25/2021,0,47.57,0
RUTH #1,8/25/2021,1.14,0,0
RUTHPICK #1,8/25/2021,38.41,96.48,11.7
SOLANSKY #1,8/25/2021,1.67,0,0
SUGARLAND #1,8/25/2021,0,0,0
THALMANN #1,8/25/2021,0,0,0
THOMPSON #2,8/25/2021,5.01,0,38.41
THUSS #1,8/25/2021,115.56,254.46,1.67
TLAPEK #1,8/25/2021,0,0,0
TRIPLE J #2,8/25/2021,0,0,0
TROTTER #1,8/25/2021,20.04,153.55,3.34
VRE MINERALS #1,8/25/2021,0,0,0
VERMILLION #1,8/25/2021,0,0,0
VERNA #1,8/25/2021,5.01,0,0
WHITE MARLIN #1,8/25/2021,0,0,0
WHITTINGTON #1,8/25/2021,0,0,0
